ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6665625,HP738893,12/17/2008 08:30:00 AM,047XX S CICERO AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0814,008,23,56,06,1145161,1872678,2008,02/04/2016 06:33:39 AM,41.806627559,-87.74312593,"(41.806627559, -87.74312593)"
6665626,HP739041,12/16/2008 11:00:00 PM,033XX N OSAGE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1631,016,36,17,26,1122506,1921137,2008,02/04/2016 06:33:39 AM,41.940003731,-87.825166834,"(41.940003731, -87.825166834)"
6665627,HP739168,12/17/2008 08:15:00 PM,080XX S WENTWORTH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0623,006,17,44,26,1176332,1851674,2008,02/04/2016 06:33:39 AM,41.74834604,-87.629431657,"(41.74834604, -87.629431657)"
6665628,HP738959,12/17/2008 12:15:00 PM,022XX W HOWARD ST,0560,ASSAULT,SIMPLE,STREET,false,false,2411,024,49,2,08A,1159832,1950363,2008,02/04/2016 06:33:39 AM,42.019512019,-87.687170579,"(42.019512019, -87.687170579)"
6665629,HP739161,12/17/2008 08:10:00 PM,001XX N AUSTIN BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1512,015,29,25,03,1136362,1900301,2008,02/04/2016 06:33:39 AM,41.882590557,-87.774739411,"(41.882590557, -87.774739411)"
6665630,HP739270,12/17/2008 09:23:00 PM,028XX W 25TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,1033,010,12,30,26,1157894,1886956,2008,02/04/2016 06:33:39 AM,41.845558691,-87.696036634,"(41.845558691, -87.696036634)"
6665631,HP739197,12/17/2008 06:39:00 PM,005XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,false,false,1834,018,42,8,11,1177348,1903717,2008,02/04/2016 06:33:39 AM,41.891133566,-87.624134682,"(41.891133566, -87.624134682)"
6665633,HP739144,12/17/2008 02:30:00 PM,111XX S VERNON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0531,005,9,49,04A,1181217,1831375,2008,02/04/2016 06:33:39 AM,41.692532002,-87.612154585,"(41.692532002, -87.612154585)"
6665634,HP739332,12/08/2008 10:30:00 AM,027XX W 111TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESTAURANT,false,false,2212,022,19,75,26,1159895,1830901,2008,02/04/2016 06:33:39 AM,41.691694625,-87.690231297,"(41.691694625, -87.690231297)"
6665635,HP739354,07/01/2008 12:00:00 AM,069XX S PAULINA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0735,007,17,67,26,1166209,1858699,2008,02/04/2016 06:33:39 AM,41.767844874,-87.666326217,"(41.767844874, -87.666326217)"
6665636,HP739333,12/17/2008 10:20:00 PM,012XX S SAWYER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1022,010,24,29,08B,1154889,1894311,2008,02/04/2016 06:33:39 AM,41.865802306,-87.706867809,"(41.865802306, -87.706867809)"
6665637,HP739352,12/17/2008 10:58:00 PM,076XX S SAGINAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0421,004,7,43,18,1195250,1854837,2008,02/04/2016 06:33:39 AM,41.756579955,-87.560006588,"(41.756579955, -87.560006588)"
6665638,HP739303,12/17/2008 09:55:00 PM,025XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1013,010,22,30,18,1150108,1887008,2008,02/04/2016 06:33:39 AM,41.84585638,-87.72460935,"(41.84585638, -87.72460935)"
6665639,HP739364,12/17/2008 11:24:00 PM,094XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0634,006,6,49,18,1177962,1842175,2008,02/04/2016 06:33:39 AM,41.722242857,-87.623745794,"(41.722242857, -87.623745794)"
6665640,HP739020,12/17/2008 02:00:00 PM,003XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,0123,001,2,32,14,1177340,1898893,2008,02/04/2016 06:33:39 AM,41.877896435,-87.624310435,"(41.877896435, -87.624310435)"
6665641,HP739083,12/17/2008 07:00:00 PM,049XX W NORTH AVE,0870,THEFT,POCKET-PICKING,DEPARTMENT STORE,false,false,2533,025,37,25,06,1142988,1910178,2008,02/04/2016 06:33:39 AM,41.909573262,-87.750161722,"(41.909573262, -87.750161722)"
6665642,HP738833,12/17/2008 12:00:00 AM,068XX S PERRY AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0722,007,6,69,11,1176579,1859616,2008,02/04/2016 06:33:39 AM,41.770134258,-87.628288054,"(41.770134258, -87.628288054)"
6665643,HP738986,11/15/2008 05:00:00 AM,011XX N MILWAUKEE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1323,012,27,24,26,1165952,1907936,2008,02/04/2016 06:33:39 AM,41.902961643,-87.665865852,"(41.902961643, -87.665865852)"
6665644,HP738994,12/17/2008 12:30:00 PM,027XX N NARRAGANSETT AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,2512,025,36,19,06,1133278,1917456,2008,02/04/2016 06:33:39 AM,41.929720595,-87.785661946,"(41.929720595, -87.785661946)"
6665645,HP738737,12/17/2008 10:30:00 AM,051XX W 47TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0814,008,23,56,06,1142723,1872981,2008,02/04/2016 06:33:39 AM,41.807504634,-87.752060336,"(41.807504634, -87.752060336)"
6665646,HP739114,12/15/2008 06:13:00 AM,083XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,false,false,0614,006,18,71,11,1167122,1849514,2008,02/04/2016 06:33:39 AM,41.742620493,-87.663241882,"(41.742620493, -87.663241882)"
6665647,HP739055,12/16/2008 07:00:00 PM,013XX W CORNELIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1924,019,44,6,14,1166782,1923361,2008,02/04/2016 06:33:39 AM,41.94527095,-87.662373781,"(41.94527095, -87.662373781)"
6665648,HP739106,12/17/2008 12:00:00 PM,003XX W MADISON ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0112,001,2,32,06,1174225,1900337,2008,02/04/2016 06:33:39 AM,41.881928906,-87.635704735,"(41.881928906, -87.635704735)"
6665649,HP739065,12/17/2008 02:45:00 PM,048XX N BROADWAY,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,2033,020,48,3,08B,1167430,1932722,2008,02/04/2016 06:33:39 AM,41.97094395,-87.659721523,"(41.97094395, -87.659721523)"
6665650,HP738993,12/14/2008 08:00:00 AM,011XX W 110TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,2234,022,34,75,26,1170672,1831521,2008,02/04/2016 06:33:39 AM,41.693168438,-87.650757301,"(41.693168438, -87.650757301)"
6665651,HP739097,12/17/2008 02:00:00 PM,063XX N SPOKANE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1621,016,45,12,06,1139644,1941735,2008,02/04/2016 06:33:39 AM,41.996230375,-87.761673036,"(41.996230375, -87.761673036)"
6665652,HP738453,12/13/2008 05:00:00 PM,020XX N KEELER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2522,025,30,20,14,1148055,1913157,2008,02/04/2016 06:33:39 AM,41.917651888,-87.73147076,"(41.917651888, -87.73147076)"
6665653,HP738961,12/11/2008 07:40:00 AM,010XX E 41ST PL,0890,THEFT,FROM BUILDING,APARTMENT,false,false,2123,002,4,36,06,1184059,1877766,2008,02/04/2016 06:33:39 AM,41.819767809,-87.600302468,"(41.819767809, -87.600302468)"
6665654,HP738823,12/17/2008 04:35:00 PM,064XX S DR MARTIN LUTHER KING JR DR,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,true,0312,003,20,69,04A,1180027,1862411,2008,02/04/2016 06:33:39 AM,41.777725763,-87.615563714,"(41.777725763, -87.615563714)"
6665655,HP738652,12/17/2008 02:56:00 PM,014XX S KENNETH AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1011,010,24,29,08B,1146953,1892726,2008,02/04/2016 06:33:39 AM,41.861608092,-87.736042096,"(41.861608092, -87.736042096)"
6665656,HP739110,12/17/2008 07:20:00 PM,057XX W ROOSEVELT RD,0870,THEFT,POCKET-PICKING,DEPARTMENT STORE,false,false,1513,015,29,25,06,1138493,1894109,2008,02/04/2016 06:33:39 AM,41.865560547,-87.767064209,"(41.865560547, -87.767064209)"
6665657,HP713568,08/18/2008 07:42:00 AM,0000X E OAK ST,0583,STALKING,CYBERSTALKING,APARTMENT,false,false,1824,018,42,8,08A,1176235,1907210,2008,02/04/2016 06:33:39 AM,41.900743703,-87.6281167,"(41.900743703, -87.6281167)"
6665658,HP739139,12/15/2008 03:00:00 PM,044XX S ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0912,009,12,58,07,1159773,1875233,2008,02/04/2016 06:33:39 AM,41.813350945,-87.689463318,"(41.813350945, -87.689463318)"
6665659,HP738766,12/17/2008 02:45:00 PM,056XX S WOLCOTT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0715,007,15,67,14,1164652,1867199,2008,02/04/2016 06:33:39 AM,41.791202978,-87.671793655,"(41.791202978, -87.671793655)"
6665660,HP739122,12/17/2008 07:07:00 PM,049XX N ALBANY AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1713,017,33,14,24,1154820,1932554,2008,02/04/2016 06:33:39 AM,41.970745654,-87.70609429,"(41.970745654, -87.70609429)"
